PTNUM,DyadID,mth,ECR1,ECR2,ECR3,ECR4,ECR5,ECR6,ECR7,ECR8,ECR9,ECR10,ECR11,ECR12,ECR13,ECR14,ECR15,ECR16,ECR17,ECR18,ECR19,ECR20,ECR21,ECR22,ECR23,ECR24,ECR25,ECR26,ECR27,ECR28,ECR29,ECR30,ECR31,ECR32,ECR33,ECR34,ECR35,ECR36,UsrID
2222,0,0,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22220
8000,0,0,3,4,7,4,5,5,1,3,1,6,4,5,1,1,7,1,1,1,5,1,7,4,1,1,1,1,5,1,7,1,4,1,1,1,4,1,80000
8000,0,3,4,4,7,4,5,5,3,3,3,3,7,3,3,3,5,3,3,3,7,3,3,3,3,3,5,3,5,3,5,3,5,5,5,3,4,3,80000
8000,0,6,2,5,5,4,5,3,5,1,4,3,4,3,3,3,5,3,3,3,5,3,3,3,4,3,5,3,5,3,5,3,5,1,5,3,5,3,80000
8000,0,9,4,5,7,3,4,3,4,3,5,3,5,3,3,3,4,3,3,3,5,3,3,5,4,3,4,3,4,3,4,3,5,3,4,3,5,3,80000
8000,1,0,4,6,5,3,7,5,1,4,2,4,4,4,2,2,4,2,1,4,4,2,7,3,3,2,4,2,4,4,2,4,4,4,4,2,3,1,80001
8000,1,3,5,1,3,7,4,5,1,4,5,7,4,7,1,2,4,4,7,4,3,6,7,4,4,6,1,2,6,2,7,2,1,1,7,1,1,1,80001
8000,1,6,5,6,4,2,2,2,4,1,4,4,1,4,4,1,4,1,1,1,1,1,7,7,5,3,1,4,1,4,1,5,4,4,4,2,1,1,80001
8000,1,9,4,7,3,4,2,4,4,2,7,4,2,6,4,NA,1,2,1,7,1,1,7,7,7,1,1,4,1,1,1,7,4,4,1,1,1,1,80001
8000,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80001
8001,0,0,2,1,6,7,7,7,1,6,2,7,5,2,1,6,7,2,7,6,6,7,1,1,1,7,6,2,6,2,7,1,7,2,7,4,5,6,80010
8001,0,3,2,2,7,7,6,5,3,6,3,6,6,2,3,6,7,6,6,6,6,5,2,5,2,7,6,6,6,5,5,4,6,6,5,3,6,6,80010
8001,0,6,2,1,6,7,6,7,2,7,2,6,6,5,2,6,5,5,6,7,6,7,2,1,2,7,6,6,6,6,6,7,6,5,3,3,3,6,80010
8001,0,9,4,3,6,6,5,6,6,5,2,5,6,6,2,6,3,2,5,6,4,5,2,2,3,7,5,6,5,6,5,6,6,5,5,2,4,5,80010
8001,1,0,6,6,5,2,3,3,4,5,6,3,4,5,6,3,4,2,2,5,2,4,6,5,5,5,6,2,5,3,3,2,6,6,6,2,6,6,80011
8001,1,3,7,7,5,2,4,4,4,4,4,4,4,4,6,2,NA,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80011
8001,1,6,4,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,NA,6,5,NA,6,4,4,4,4,4,4,NA,3,NA,4,6,4,80011
8001,1,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,5,3,5,4,4,4,4,4,4,80011
8001,1,12,4,4,4,4,4,4,4,4,4,5,5,5,3,5,5,4,5,5,5,3,4,5,4,5,5,4,4,5,5,3,4,5,3,3,4,4,80011
8002,0,0,3,6,7,2,6,3,3,3,2,1,6,1,3,2,6,1,1,1,6,4,5,6,2,3,6,2,6,3,3,3,6,1,7,1,6,1,80020
8002,1,0,7,1,5,7,7,7,1,7,5,6,2,2,1,7,2,4,1,5,2,6,7,1,2,6,2,3,3,5,2,6,5,1,4,7,3,7,80021
8003,0,0,2,5,6,3,5,5,2,3,3,3,6,2,1,3,6,2,4,2,5,3,2,6,2,1,6,2,5,1,5,2,6,1,6,1,5,1,80030
8003,0,3,2,7,7,2,6,5,1,3,2,5,6,2,2,2,6,4,5,2,5,3,2,6,1,2,6,3,6,4,5,2,6,3,5,2,5,2,80030
8003,0,6,2,4,6,3,5,5,3,4,2,3,6,3,3,3,5,2,4,3,5,3,4,5,3,2,4,3,5,3,4,2,5,4,5,3,5,4,80030
8003,0,12,2,6,6,2,6,2,2,3,2,4,6,4,3,3,6,3,5,2,6,4,4,6,2,2,6,2,6,2,5,2,6,4,5,3,5,2,80030
8003,1,0,1,5,6,2,5,5,2,2,2,2,5,1,1,2,7,3,5,2,6,6,2,6,1,1,7,2,7,1,5,2,7,1,7,2,6,3,80031
